ticker,z_score,robust_z_score,ewma_z_score,iqr_tukey_fence_score,winsorized_z,rolling_skew_z,rolling_kurtosis_z,level_trend_accel,roc,drawdown_depth,cusum_statistic,page_hinkley,ewma_control_distance,rolling_variance_shift,levene_proxy,acf_spike_score,pacf_spike_score,stl_seasonal_strength,seasonal_mismatch_residual,seasonal_peak_timing_error,spectral_entropy,band_power_ratios,hjorth_params,hurst_exponent,higuchi_fd,permutation_entropy,rsi,bollinger,macd,atr,stochastic_kd,fisher_transform,one_step_residual_z,pinball_loss,garch_residuals,mahalanobis_distance,isolation_forest_score,lof_score
ICICIBANK.NS,0.28643614404747175,0.29326178063293307,0.37420470885797347,0.0,0.28643614404840156,0.0657726781696919,-0.8927147267972185,level:1407.1554|trend:-1.0535|accel:0.0615,0.0008562166546026706,-0.06016342504800088,cusum_pos:0.0|cusum_neg:2163.0735|signal_pos:0.0|signal_neg:1.0,ph:-4815.7615|alarm:0.0,0.0,0.4523248582536571,0.2216809275416312,n/a,n/a,n/a,n/a,n/a,0.46191008376163223,"{(0.0, 0.1): 0.9251685950070397, (0.1, 0.3): 0.053904866830623496, (0.3, 0.5): 0.018646677094201845}","{'activity': 815.3859504949771, 'mobility': 0.16015863863130855, 'complexity': 9.004570133962803}",0.032614446507796005,-1.561629938376362,0.9683172152786523,52.02156743037383,mid:1399.71|upper:1413.9031|lower:1385.5169|percent_b:0.6089|bandwidth:0.0203,macd:-1.2491|signal:-1.409|hist:0.16,n/a,n/a,0.5342210554224132,0.2675656406134043,1.56980034856513,0.35844822727097064,1.1900827468202462,0.03419375603307506,0.9756977532973679
INDUSINDBK.NS,-0.0657540872672729,0.02969267277921872,0.10210212190561041,0.0,-0.06575408726723302,1.5039286421937903,0.9133216095068437,level:750.6203|trend:1.3355|accel:-0.0885,0.00013207686680138941,-0.09416693054984296,cusum_pos:0.0|cusum_neg:1754.4782|signal_pos:0.0|signal_neg:1.0,ph:-3681.7324|alarm:0.0,0.0,0.23718691611404824,0.0020827070335184736,n/a,n/a,n/a,n/a,n/a,0.36096910590032233,"{(0.0, 0.1): 0.941712074427636, (0.1, 0.3): 0.04638485494544502, (0.3, 0.5): 0.0092854682106033}","{'activity': 497.0642766084671, 'mobility': 0.1967828228528744, 'complexity': 7.308900243284475}",-0.007006658619028224,-1.5058119453174161,0.9271707726084399,50.986363645396075,mid:759.0075|upper:768.4663|lower:749.5487|percent_b:0.3965|bandwidth:0.0249,macd:-0.1808|signal:0.2953|hist:-0.4761,n/a,n/a,-0.19809290676507385,0.033005830594656824,1.4856423859549042,0.10881160681535813,1.0795711643217833,-0.0354257691751968,0.9317549698504541
INFY.NS,-1.370037029278165,-0.9978527896774737,-0.7880861632805676,0.0,-1.370037029278248,0.26019463793310643,-0.4492486773918411,level:1504.3362|trend:-1.5935|accel:-0.051,0.0007620725837136355,-0.0605488924715023,cusum_pos:1350.8089|cusum_neg:1291.5971|signal_pos:1.0|signal_neg:1.0,ph:-1845.4641|alarm:1.0,0.0,1.028145596141321,0.9974707026586437,n/a,n/a,n/a,n/a,n/a,0.32827725486461495,"{(0.0, 0.1): 0.9771832096883115, (0.1, 0.3): 0.017772215798040555, (0.3, 0.5): 0.0033871674652984616}","{'activity': 1193.4240115163925, 'mobility': 0.21541643996142895, 'complexity': 6.373180591341239}",0.4669396156880428,-1.4239578773864732,0.9404802254696737,29.44441308135599,mid:1462.055|upper:1492.4493|lower:1431.6607|percent_b:0.2112|bandwidth:0.0416,macd:-12.6291|signal:-11.1941|hist:-1.435,n/a,n/a,1.291951340102671,0.19321192067811174,2.363118691019493,0.20818095881052837,0.8965286545235561,-0.028810074183796497,1.0028778475366202
IOC.NS,0.07287222581167722,0.021762050197470437,0.4427202033992709,0.0,0.07287222581140093,1.538097915617923,0.39103483397892774,level:139.7739|trend:0.0777|accel:-0.0066,0.002506309479505253,-0.06153635290579809,cusum_pos:0.0|cusum_neg:138.4421|signal_pos:0.0|signal_neg:1.0,ph:-505.5609|alarm:0.0,0.0,0.26800201788886424,0.010759263309720652,n/a,n/a,n/a,n/a,n/a,0.5194440121853958,"{(0.0, 0.1): 0.9339110504232102, (0.1, 0.3): 0.04478753089191003, (0.3, 0.5): 0.0201608170113419}","{'activity': 8.624460756185632, 'mobility': 0.22057379906739447, 'complexity': 6.93352118786048}",0.06913445261635273,-1.545662017206972,0.9908442739869585,52.911521161408686,mid:139.9705|upper:141.0393|lower:138.9017|percent_b:0.5138|bandwidth:0.0153,macd:0.0043|signal:0.0541|hist:-0.0498,n/a,n/a,0.27321779278307595,0.7650219559607091,0.2205938962426516,0.6232188461455482,0.6338440634558862,-0.07290720873544737,1.006828849495196
ITC.NS,-0.4995494033307254,0.07494392596564739,-0.43478715485429464,0.0,-0.4995494033306727,0.7406565430517261,-0.5787989755103716,level:402.3162|trend:1.3667|accel:-0.0856,0.0012275964031065456,-0.02812206420139041,cusum_pos:26.8189|cusum_neg:303.0491|signal_pos:1.0|signal_neg:1.0,ph:-253.5848|alarm:1.0,0.0,1.413440587893066,0.4727753271042865,n/a,n/a,n/a,n/a,n/a,0.3082638001713041,"{(0.0, 0.1): 0.9879726103461621, (0.1, 0.3): 0.0071793546271840935, (0.3, 0.5): 0.004362699160464047}","{'activity': 27.913377586962486, 'mobility': 0.264617991734429, 'complexity': 5.470290952327597}",0.11533555179492072,-1.3722563524421907,0.9836732065875904,45.057729025053376,mid:411.5525|upper:420.1681|lower:402.9369|percent_b:0.2822|bandwidth:0.0419,macd:-0.3665|signal:0.6772|hist:-1.0437,n/a,n/a,1.1855955629084673,0.20809896260780988,0.43304466020942917,0.36373250829681036,0.36486054794346195,-0.03023447744329283,1.0930356594474457
JSWSTEEL.NS,0.8155821915550613,0.6744907594765952,0.5848275915550494,0.0,0.8155821915550896,-1.8413198162689581,-0.20850907140767555,level:1031.3846|trend:3.912|accel:-0.1844,-0.000558844634483191,-0.012334337364627409,cusum_pos:675.3415|cusum_neg:6.7601|signal_pos:1.0|signal_neg:1.0,ph:1706.3766|alarm:1.0,0.0,1.5009662107313806,0.6111896540583013,n/a,n/a,n/a,n/a,n/a,0.5167322248726428,"{(0.0, 0.1): 0.9468816734936006, (0.1, 0.3): 0.03698950674614452, (0.3, 0.5): 0.01433355048199316}","{'activity': 250.37612282241514, 'mobility': 0.3164684285893455, 'complexity': 4.6975257694604196}",0.1609344228032448,-1.4845458441762351,0.9726750047750047,61.098741257221725,mid:1070.785|upper:1077.702|lower:1063.868|percent_b:0.6601|bandwidth:0.0129,macd:5.0334|signal:5.7999|hist:-0.7665,n/a,n/a,0.2437448177928887,-0.127867389176227,1.6940600706799196,-0.16254915362532496,1.321544859418469,-0.026461696937044088,0.9869617308840507
KOTAKBANK.NS,-0.8428812599368378,-0.5781388144001826,-0.6151118345385703,0.0,-0.8428812599374051,2.187377293151517,-0.1496051507286991,level:1965.4665|trend:-1.3953|accel:0.0542,0.00035990906741112383,-0.0923299017263889,cusum_pos:0.0|cusum_neg:1541.7645|signal_pos:0.0|signal_neg:1.0,ph:-3895.6133|alarm:0.0,0.0,0.7278239080522646,0.6388609433974898,n/a,n/a,n/a,n/a,n/a,0.4306535076613267,"{(0.0, 0.1): 0.9391205933522925, (0.1, 0.3): 0.049836944016774756, (0.3, 0.5): 0.007370239770516499}","{'activity': 1259.1240794139203, 'mobility': 0.333826749406767, 'complexity': 4.208689399578847}",0.8282105196784398,-1.4944870229527818,0.9728707333954218,43.19764796174546,mid:1950.105|upper:1962.4786|lower:1937.7315|percent_b:0.3139|bandwidth:0.0127,macd:-3.6435|signal:-3.5436|hist:-0.0998,n/a,n/a,0.15609345113548692,0.1308588492483188,2.823017989054765,0.1435984216391042,1.1097741156780143,0.008861166999373338,0.9942995895209183
LT.NS,-1.807836822951199,-1.5960472893197704,-1.2635246566223297,0.0,-1.6135684345001902,1.5221231950545868,-0.331170906340964,level:3594.1476|trend:0.4039|accel:-0.1082,0.0007039279177811775,-0.04333781965006729,cusum_pos:3177.2932|cusum_neg:1096.9299|signal_pos:1.0|signal_neg:1.0,ph:6145.9963|alarm:1.0,0.0,0.6323973012565064,0.07046549294692507,n/a,n/a,n/a,n/a,n/a,0.4222694061511116,"{(0.0, 0.1): 0.9681483715683296, (0.1, 0.3): 0.021120084453064132, (0.3, 0.5): 0.0086613633934725}","{'activity': 4135.900540378584, 'mobility': 0.24137183439669488, 'complexity': 5.852358989506664}",0.8707835654164616,-1.4087648412126752,0.9477015559356888,36.98065470828422,mid:3580.56|upper:3612.929|lower:3548.191|percent_b:0.0897|bandwidth:0.0181,macd:-8.5963|signal:-4.6764|hist:-3.9199,n/a,n/a,0.07762754269931771,0.22700221238645973,4.634652619314666,0.12779962921053006,0.7449475820165278,0.04615952406952051,1.4485499281807097
M&M.NS,1.3483030076547289,2.3051979026721305,0.7906951395713435,0.0,1.346185729170344,-0.07382943178527271,-0.8210717864093235,level:3274.1852|trend:-1.5062|accel:0.9725,0.0008145793100420295,-0.0021006050316875447,cusum_pos:7737.9929|cusum_neg:0.0|signal_pos:1.0|signal_neg:0.0,ph:10668.299|alarm:1.0,0.0,3.5223926473500793,0.0015779125156186286,n/a,n/a,n/a,n/a,n/a,0.33898733547425364,"{(0.0, 0.1): 0.9701229721936948, (0.1, 0.3): 0.02118493399841586, (0.3, 0.5): 0.007055435940816433}","{'activity': 10381.000186809944, 'mobility': 0.2298923387720857, 'complexity': 6.062445242418455}",-0.03345069295434456,-1.3858212942378099,0.9702854137198271,75.10342059966237,mid:3445.895|upper:3690.2351|lower:3201.5549|percent_b:0.7394|bandwidth:0.1418,macd:70.8301|signal:62.0816|hist:8.7485,n/a,n/a,-0.7021172758256948,0.07454567098089086,6.300986714882426,0.04305934160734941,2.741315577902725,0.13091837257038474,2.996502223029163
MARUTI.NS,0.8400172357680231,0.7284500202347228,0.9267936910692176,0.0,0.8400172357674424,-1.052193941549768,0.9927920747746211,level:14893.3036|trend:-7.0599|accel:0.3083,-0.0005368046702006746,-0.003945432660157817,cusum_pos:101178.8621|cusum_neg:0.0|signal_pos:1.0|signal_neg:0.0,ph:153567.0138|alarm:1.0,0.0,0.29384687396955483,0.09153777532071082,n/a,n/a,n/a,n/a,n/a,0.2290238978672426,"{(0.0, 0.1): 0.9902053771875613, (0.1, 0.3): 0.007063934074624597, (0.3, 0.5): 0.0022050793592630984}","{'activity': 1059754.991367117, 'mobility': 0.08103457224356829, 'complexity': 17.01417549791543}",-0.0403705416758349,-1.4398966193766531,0.9669483566437514,56.884099532368445,mid:14825.25|upper:14988.1111|lower:14662.3889|percent_b:0.7141|bandwidth:0.022,macd:12.3149|signal:6.0842|hist:6.2308,n/a,n/a,-0.2264055119294347,-0.13435236905737766,20.596534653465348,-0.22623904345062953,1.3362305634441498,-0.010211707374797152,1.1749185085474405
NESTLEIND.NS,0.49641056265756806,0.7187157894624883,0.2983071496116929,0.0,0.4964105626571177,-1.061301287412809,1.3316286220666953,level:1180.1166|trend:2.7463|accel:-0.1353,-0.0015727377307006574,-0.013333373274539878,cusum_pos:2922.607|cusum_neg:0.0|signal_pos:1.0|signal_neg:0.0,ph:3265.6458|alarm:1.0,0.0,2.2718315180288866,0.15770911769066673,n/a,n/a,n/a,n/a,n/a,0.4319640744162926,"{(0.0, 0.1): 0.9592685920587487, (0.1, 0.3): 0.028503996126973942, (0.3, 0.5): 0.00902017618919637}","{'activity': 1205.2916186633781, 'mobility': 0.22081785050868796, 'complexity': 6.5459813871330965}",0.1710003023481635,-1.4543182825783252,0.9741809544892892,55.260684245020016,mid:1205.025|upper:1223.0116|lower:1187.0384|percent_b:0.5327|bandwidth:0.0299,macd:5.1452|signal:6.701|hist:-1.5559,n/a,n/a,0.007154476873400167,-0.23436932556360518,2.1730225817991955,-0.2737169096550383,1.76937791147132,0.09077101755170225,1.157060232115223
NTPC.NS,-1.1885607255724069,-1.2079590839263759,-0.5850099390774641,0.0,-1.188560725572441,-1.1631646051107334,-0.43491398411445764,level:333.7468|trend:0.383|accel:-0.0459,0.0009133438326063281,-0.039585124966945974,cusum_pos:18.1|cusum_neg:140.6357|signal_pos:1.0|signal_neg:1.0,ph:-27.9025|alarm:1.0,0.0,0.8784480135204034,0.9762641716069941,n/a,n/a,n/a,n/a,n/a,0.4917986720473732,"{(0.0, 0.1): 0.9539337984493738, (0.1, 0.3): 0.030245487671239663, (0.3, 0.5): 0.013265346178952676}","{'activity': 14.17121734669367, 'mobility': 0.3386641424819666, 'complexity': 4.342203431728466}",1.0383677302227337,-1.406050170006683,0.9704092874882629,40.372663179191,mid:331.585|upper:337.9262|lower:325.2438|percent_b:0.2765|bandwidth:0.0382,macd:-1.5047|signal:-1.0991|hist:-0.4056,n/a,n/a,0.6209972778270274,0.2110095530204575,0.4606431262327893,0.2645739534789293,1.6358337331453843,0.06054120311725275,1.1361760320617205
ONGC.NS,-1.2620116994019408,-1.367124490486854,-0.6291707841810007,0.0,-1.262011699402002,-0.6422809758448461,-0.5777284120928657,level:240.6961|trend:-0.0485|accel:-0.0152,0.0021794637044270093,-0.03414336260594976,cusum_pos:11.343|cusum_neg:65.9796|signal_pos:1.0|signal_neg:1.0,ph:-257.4072|alarm:1.0,0.0,3.608504340213071,0.00070759544169834,n/a,n/a,n/a,n/a,n/a,0.48725814566002046,"{(0.0, 0.1): 0.9411079525884826, (0.1, 0.3): 0.039709176588650905, (0.3, 0.5): 0.01681386175929585}","{'activity': 8.372962287539755, 'mobility': 0.305908112695988, 'complexity': 4.870830220023766}",0.9850293298739132,-1.4956186080291696,0.9735088682160625,40.62592267531024,mid:236.5805|upper:240.9767|lower:232.1843|percent_b:0.2645|bandwidth:0.0372,macd:-0.9883|signal:-0.6549|hist:-0.3334,n/a,n/a,0.6377122091367151,0.5053028271678229,0.3089603386302986,0.6277923559269819,0.8437887859504222,-0.028535868991432456,0.9929826094957728
POWERGRID.NS,0.32797642992762294,0.08797277542763983,0.5926956692708748,0.0,0.3279764299277385,-1.5047754416708354,1.4106947022238208,level:284.4446|trend:0.1671|accel:-0.0142,0.001754078307006024,-0.034162037246826156,cusum_pos:0.0|cusum_neg:280.0508|signal_pos:0.0|signal_neg:1.0,ph:-648.7982|alarm:0.0,0.0,0.4194552360536838,0.005150688545249434,n/a,n/a,n/a,n/a,n/a,0.39117605682498346,"{(0.0, 0.1): 0.9591412276379212, (0.1, 0.3): 0.03133984953924038, (0.3, 0.5): 0.00874979096016319}","{'activity': 22.21737806711528, 'mobility': 0.24336236006734122, 'complexity': 5.868619873666087}",0.1668473657082112,-1.496322726657043,0.9662447072016506,58.32947486254164,mid:284.6275|upper:288.0682|lower:281.1868|percent_b:0.6341|bandwidth:0.0242,macd:0.5071|signal:0.4917|hist:0.0154,n/a,n/a,0.2786358895299452,0.3675663546197387,0.3754948531046952,0.47230684435474873,0.16291732701080847,-0.03906298667154162,1.146749487459409
RELIANCE.NS,1.1061138820976169,1.2295435738535494,0.9648629203938335,0.0,1.1061138820970862,-0.08094802075865075,1.5728117002333992,level:1370.0573|trend:-0.3989|accel:0.0276,0.00021810630135554732,-0.03776223776223776,cusum_pos:0.0|cusum_neg:968.6466|signal_pos:0.0|signal_neg:1.0,ph:-939.0368|alarm:0.0,0.0,0.13784562204724266,0.0008792475843080525,n/a,n/a,n/a,n/a,n/a,0.4496960098387698,"{(0.0, 0.1): 0.9503892696110586, (0.1, 0.3): 0.03404913230201188, (0.3, 0.5): 0.014336000514423913}","{'activity': 342.14149636861197, 'mobility': 0.3349641043033182, 'complexity': 4.326419555443985}",0.9046510246567112,-1.480773132463714,0.9800791850157295,57.84092271593423,mid:1367.81|upper:1378.5908|lower:1357.0292|percent_b:0.8798|bandwidth:0.0158,macd:0.2999|signal:-1.5774|hist:1.8773,n/a,n/a,-0.1558330573520576,0.04924928082801009,2.012376539778001,0.057560271029179676,0.7742057489114994,-0.03895115316919773,0.9542159648352149
